,date,USPS,out,diff,low_date,Problem,Correction,,,,
69,5/15/2021,AL,,,1/25/2000,,,,,,
70,5/22/2021,AL,,,1/25/2000,,,,,,
71,5/29/2021,AL,,,1/25/2000,,,,,,
72,6/5/2021,AL,,,1/25/2000,,,,,,
73,6/12/2021,AL,,,1/25/2000,,,,,,
74,6/19/2021,AL,,,1/25/2000,,,,,,
75,6/26/2021,AL,,,1/25/2000,,,,,,
76,7/3/2021,AL,,,1/25/2000,,,,,,
77,7/10/2021,AL,,,1/25/2000,,,,,,
78,7/17/2021,AL,,,1/25/2000,,,,,,
79,7/24/2021,AL,,,1/25/2000,,,,,,
80,7/31/2021,AL,,,1/25/2000,,,,,,
81,8/7/2021,AL,,,1/25/2000,,,,,,
82,8/14/2021,AL,,,1/25/2000,,,,,,
83,8/21/2021,AL,,,1/25/2000,,,,,,
84,8/28/2021,AL,,,1/25/2000,,,,,,
85,9/4/2021,AL,,,1/25/2000,,,,,,
86,9/11/2021,AL,,,1/25/2000,,,,,,
87,9/18/2021,AL,,,1/25/2000,,,,,,
88,9/25/2021,AL,,,1/25/2000,,,,,,
89,10/2/2021,AL,,,1/25/2000,,,,,,
90,10/9/2021,AL,,,1/25/2000,,,,,,
91,10/16/2021,AL,,,1/25/2000,,,,,,
92,10/23/2021,AL,,,1/25/2000,,,,,,
93,10/30/2021,AL,,,1/25/2000,,,,,,
94,11/6/2021,AL,,,1/25/2000,,,,,,
95,11/13/2021,AL,,,1/25/2000,,,,,,
96,11/20/2021,AL,,,1/25/2000,,,,,,
97,11/27/2021,AL,,,1/25/2000,,,,,,
98,12/4/2021,AL,,,1/25/2000,,,,,,
99,12/11/2021,AL,,,1/25/2000,,,,,,
100,12/18/2021,AL,,,1/25/2000,,,,,,
101,12/25/2021,AL,,,1/25/2000,,,,,,
102,1/1/2022,AL,,,1/25/2000,,,,,,
103,1/8/2022,AL,,,1/25/2000,,,,,,
104,1/15/2022,AL,,,1/25/2000,,,,,,
105,1/22/2022,AL,,,1/25/2000,,,,,,
106,1/29/2022,AL,,,1/25/2000,,,,,,
107,2/5/2022,AL,,,1/25/2000,,,,,,
108,2/12/2022,AL,,,1/25/2000,,,,,,
109,2/19/2022,AL,,,1/25/2000,,,,,,
110,2/26/2022,AL,,,1/25/2000,,,,,,
111,3/5/2022,AL,,,1/25/2000,,,,,,
112,3/12/2022,AL,,,1/25/2000,,,,,,
113,3/19/2022,AL,,,1/25/2000,,,,,,
114,3/26/2022,AL,,,1/25/2000,,,,,,
115,4/2/2022,AL,,,1/25/2000,,,,,,
116,4/9/2022,AL,,,1/25/2000,,,,,,
117,4/16/2022,AL,,,1/25/2000,,,,,,
118,4/23/2022,AL,,,1/25/2000,,,,,,
119,4/30/2022,AL,,,1/25/2000,,,,,,
120,5/7/2022,AL,,,1/25/2000,,,,,,
121,5/14/2022,AL,,,1/25/2000,,,,,,
122,5/21/2022,AL,,,1/25/2000,,,,,,
123,5/28/2022,AL,,,1/25/2000,,,,,,
124,6/4/2022,AL,,,1/25/2000,,,,,,
125,6/11/2022,AL,,,1/25/2000,,,,,,
126,6/18/2022,AL,,,1/25/2000,,,,,,
127,6/25/2022,AL,,,1/25/2000,,,,,,
128,7/2/2022,AL,,,1/25/2000,,,,,,
129,7/9/2022,AL,,,1/25/2000,,,,,,
130,7/16/2022,AL,,,1/25/2000,,,,,,
131,7/23/2022,AL,,,1/25/2000,,,,,,
132,7/30/2022,AL,,,1/25/2000,,,,,,
133,8/6/2022,AL,,,1/25/2000,,,,,,
134,8/13/2022,AL,,,1/25/2000,,,,,,
135,8/20/2022,AL,,,1/25/2000,,,,,,
136,8/27/2022,AL,,,1/25/2000,,,,,,
137,9/3/2022,AL,,,1/25/2000,,,,,,
138,9/10/2022,AL,,,1/25/2000,,,,,,
139,9/17/2022,AL,,,1/25/2000,,,,,,
140,9/24/2022,AL,,,1/25/2000,,,,,,
141,10/1/2022,AL,,,1/25/2000,,,,,,
142,10/8/2022,AL,,,1/25/2000,,,,,,
143,10/15/2022,AL,,,1/25/2000,,,,,,
144,10/22/2022,AL,,,1/25/2000,,,,,,
145,10/29/2022,AL,,,1/25/2000,,,,,,
146,11/5/2022,AL,,,1/25/2000,,,,,,
147,11/12/2022,AL,,,1/25/2000,,,,,,
148,11/19/2022,AL,,,1/25/2000,,,,,,
149,11/26/2022,AL,,,1/25/2000,,,,,,
150,12/3/2022,AL,,,1/25/2000,,,,,,
151,12/10/2022,AL,,,1/25/2000,,,,,,
152,12/17/2022,AL,,,1/25/2000,,,,,,
153,12/24/2022,AL,,,1/25/2000,,,,,,
154,12/31/2022,AL,,,1/25/2000,,,,,,
155,1/7/2023,AL,,,1/25/2000,,,,,,
156,1/14/2023,AL,,,1/25/2000,,,,,,
157,1/21/2023,AL,,,1/25/2000,,,,,,
158,1/28/2023,AL,,,1/25/2000,,,,,,
159,2/4/2023,AL,,,1/25/2000,,,,,,
160,2/11/2023,AL,,,1/25/2000,,,,,,
161,2/18/2023,AL,,,1/25/2000,,,,,,
162,2/25/2023,AL,,,1/25/2000,,,,,,
163,3/4/2023,AL,,,1/25/2000,,,,,,
164,3/11/2023,AL,,,1/25/2000,,,,,,
165,1/25/2020,AK,,,1/25/2000,,,,,,
166,2/1/2020,AK,,,1/25/2000,,,,,,
167,2/8/2020,AK,,,1/25/2000,,,,,,
168,2/15/2020,AK,,,1/25/2000,,,,,,
169,2/22/2020,AK,,,1/25/2000,,,,,,
170,2/29/2020,AK,,,1/25/2000,,,,,,
171,3/7/2020,AK,,,1/25/2000,,,,,,
172,3/14/2020,AK,,,1/25/2000,,,,,,
173,3/21/2020,AK,,,1/25/2000,,,,,,
174,3/28/2020,AK,,,1/25/2000,,,,,,
175,4/4/2020,AK,,,1/25/2000,,,,,,
176,4/11/2020,AK,,,1/25/2000,,,,,,
177,4/18/2020,AK,,,1/25/2000,,,,,,
178,4/25/2020,AK,,,1/25/2000,,,,,,
179,5/2/2020,AK,,,1/25/2000,,,,,,
180,5/9/2020,AK,,,1/25/2000,,,,,,
181,5/16/2020,AK,,,1/25/2000,,,,,,
182,5/23/2020,AK,,,1/25/2000,,,,,,
183,5/30/2020,AK,,,1/25/2000,,,,,,
184,6/6/2020,AK,,,1/25/2000,,,,,,
185,6/13/2020,AK,,,1/25/2000,,,,,,
186,6/20/2020,AK,,,1/25/2000,,,,,,
187,6/27/2020,AK,,,1/25/2000,,,,,,
188,7/4/2020,AK,,,1/25/2000,,,,,,
189,7/11/2020,AK,,,1/25/2000,,,,,,
190,7/18/2020,AK,,,1/25/2000,,,,,,
191,7/25/2020,AK,,,1/25/2000,,,,,,
192,8/1/2020,AK,,,1/25/2000,,,,,,
193,8/8/2020,AK,,,1/25/2000,,,,,,
194,8/15/2020,AK,,,1/25/2000,,,,,,
195,8/22/2020,AK,,,1/25/2000,,,,,,
196,8/29/2020,AK,,,1/25/2000,,,,,,
197,9/5/2020,AK,,,1/25/2000,,,,,,
198,9/12/2020,AK,,,1/25/2000,,,,,,
199,9/19/2020,AK,,,1/25/2000,,,,,,
200,9/26/2020,AK,,,1/25/2000,,,,,,
201,10/3/2020,AK,,,1/25/2000,,,,,,
202,10/10/2020,AK,,,1/25/2000,,,,,,
203,10/17/2020,AK,,,1/25/2000,,,,,,
204,10/24/2020,AK,,,1/25/2000,,,,,,
205,10/31/2020,AK,,,1/25/2000,,,,,,
206,11/7/2020,AK,,,1/25/2000,,,,,,
207,11/14/2020,AK,,,1/25/2000,,,,,,
208,11/21/2020,AK,,,1/25/2000,,,,,,
209,11/28/2020,AK,,,1/25/2000,,,,,,
210,12/5/2020,AK,,,1/25/2000,,,,,,
211,12/12/2020,AK,,,1/25/2000,,,,,,
212,12/19/2020,AK,,,1/25/2000,,,,,,
213,12/26/2020,AK,,,1/25/2000,,,,,,
214,1/2/2021,AK,,,1/25/2000,,,,,,
215,1/9/2021,AK,,,1/25/2000,,,,,,
216,1/16/2021,AK,,,1/25/2000,,,,,,
217,1/23/2021,AK,,,1/25/2000,,,,,,
218,1/30/2021,AK,,,1/25/2000,,,,,,
219,2/6/2021,AK,,,1/25/2000,,,,,,
220,2/13/2021,AK,,,1/25/2000,,,,,,
221,2/20/2021,AK,,,1/25/2000,,,,,,
222,2/27/2021,AK,,,1/25/2000,,,,,,
223,3/6/2021,AK,,,1/25/2000,,,,,,
224,3/13/2021,AK,,,1/25/2000,,,,,,
225,3/20/2021,AK,,,1/25/2000,,,,,,
226,3/27/2021,AK,,,1/25/2000,,,,,,
227,4/3/2021,AK,,,1/25/2000,,,,,,
228,4/10/2021,AK,,,1/25/2000,,,,,,
229,4/17/2021,AK,1,20,1/25/2000,20 deaths identified  through a death certificate review process,,,,,
230,4/24/2021,AK,,,1/25/2000,,,,,,
231,5/1/2021,AK,,,1/25/2000,,,,,,
232,5/8/2021,AK,,,1/25/2000,,,,,,
233,5/15/2021,AK,,,1/25/2000,,,,,,
234,5/22/2021,AK,1,12,1/25/2000,,,,,,
235,5/29/2021,AK,,,1/25/2000,12 deaths over past several months,,,,,
236,6/5/2021,AK,,,1/25/2000,,,,,,
237,6/12/2021,AK,1,4,1/25/2000,Inclusion of four deaths identified through death certificate review,,,,,
238,6/19/2021,AK,,,1/25/2000,,,,,,
239,6/26/2021,AK,,,1/25/2000,,,,,,
240,7/3/2021,AK,,,1/25/2000,,,,,,
241,7/10/2021,AK,,,1/25/2000,,,,,,
242,7/17/2021,AK,,,1/25/2000,,,,,,
243,7/24/2021,AK,,,1/25/2000,,,,,,
244,7/31/2021,AK,,,1/25/2000,,,,,,
245,8/7/2021,AK,,,1/25/2000,,,,,,
246,8/14/2021,AK,,,1/25/2000,,,,,,
247,8/21/2021,AK,,,1/25/2000,,,,,,
248,8/28/2021,AK,,,1/25/2000,,,,,,
249,9/4/2021,AK,,,1/25/2000,,,,,,
250,9/11/2021,AK,,,1/25/2000,,,,,,
251,9/18/2021,AK,,,1/25/2000,,,,,,
252,9/25/2021,AK,,,1/25/2000,,,,,,
253,10/2/2021,AK,,,1/25/2000,,,,,,
254,10/9/2021,AK,,,1/25/2000,,,,,,
255,10/16/2021,AK,,,1/25/2000,,,,,,
256,10/23/2021,AK,,,1/25/2000,,,,,,
257,10/30/2021,AK,,,1/25/2000,,,,,,
258,11/6/2021,AK,,,1/25/2000,,,,,,
259,11/13/2021,AK,,,1/25/2000,,,,,,
260,11/20/2021,AK,,,1/25/2000,,,,,,
261,11/27/2021,AK,,,1/25/2000,,,,,,
262,12/4/2021,AK,,,1/25/2000,,,,,,
263,12/11/2021,AK,,,1/25/2000,,,,,,
264,12/18/2021,AK,,,1/25/2000,,,,,,
265,12/25/2021,AK,,,1/25/2000,,,,,,
266,1/1/2022,AK,,,1/25/2000,,,,,,
267,1/8/2022,AK,,,1/25/2000,,,,,,
268,1/15/2022,AK,,,1/25/2000,,,,,,
269,1/22/2022,AK,,,1/25/2000,,,,,,
270,1/29/2022,AK,,,1/25/2000,,,,,,
271,2/5/2022,AK,,,1/25/2000,,,,,,
272,2/12/2022,AK,,,1/25/2000,,,,,,
273,2/19/2022,AK,,,1/25/2000,,,,,,
274,2/26/2022,AK,,,1/25/2000,,,,,,
275,3/5/2022,AK,,,1/25/2000,,,,,,
276,3/12/2022,AK,,,1/25/2000,,,,,,
277,3/19/2022,AK,,,1/25/2000,,,,,,
278,3/26/2022,AK,,,1/25/2000,,,,,,
279,4/2/2022,AK,,,1/25/2000,,,,,,
280,4/9/2022,AK,,,1/25/2000,,,,,,
281,4/16/2022,AK,,,1/25/2000,,,,,,
282,4/23/2022,AK,,,1/25/2000,,,,,,
283,4/30/2022,AK,,,1/25/2000,,,,,,
284,5/7/2022,AK,,,1/25/2000,,,,,,
285,5/14/2022,AK,,,1/25/2000,,,,,,
286,5/21/2022,AK,,,1/25/2000,,,,,,
287,5/28/2022,AK,,,1/25/2000,,,,,,
288,6/4/2022,AK,,,1/25/2000,,,,,,
289,6/11/2022,AK,,,1/25/2000,,,,,,
290,6/18/2022,AK,,,1/25/2000,,,,,,
291,6/25/2022,AK,,,1/25/2000,,,,,,
292,7/2/2022,AK,,,1/25/2000,,,,,,
293,7/9/2022,AK,,,1/25/2000,,,,,,
294,7/16/2022,AK,,,1/25/2000,,,,,,
295,7/23/2022,AK,,,1/25/2000,,,,,,
296,7/30/2022,AK,,,1/25/2000,,,,,,
297,8/6/2022,AK,,,1/25/2000,,,,,,
298,8/13/2022,AK,,,1/25/2000,,,,,,
299,8/20/2022,AK,,,1/25/2000,,,,,,
300,8/27/2022,AK,,,1/25/2000,,,,,,
301,9/3/2022,AK,,,1/25/2000,,,,,,
302,9/10/2022,AK,,,1/25/2000,,,,,,
303,9/17/2022,AK,,,1/25/2000,,,,,,
304,9/24/2022,AK,,,1/25/2000,,,,,,
305,10/1/2022,AK,,,1/25/2000,,,,,,
306,10/8/2022,AK,,,1/25/2000,,,,,,
307,10/15/2022,AK,,,1/25/2000,,,,,,
308,10/22/2022,AK,,,1/25/2000,,,,,,
309,10/29/2022,AK,,,1/25/2000,,,,,,
310,11/5/2022,AK,,,1/25/2000,,,,,,
311,11/12/2022,AK,,,1/25/2000,,,,,,
312,11/19/2022,AK,,,1/25/2000,,,,,,
313,11/26/2022,AK,,,1/25/2000,,,,,,
314,12/3/2022,AK,,,1/25/2000,,,,,,
315,12/10/2022,AK,,,1/25/2000,,,,,,
316,12/17/2022,AK,,,1/25/2000,,,,,,
317,12/24/2022,AK,,,1/25/2000,,,,,,
318,12/31/2022,AK,,,1/25/2000,,,,,,
319,1/7/2023,AK,,,1/25/2000,,,,,,
320,1/14/2023,AK,,,1/25/2000,,,,,,
321,1/21/2023,AK,,,1/25/2000,,,,,,
322,1/28/2023,AK,,,1/25/2000,,,,,,
323,2/4/2023,AK,,,1/25/2000,,,,,,
324,2/11/2023,AK,,,1/25/2000,,,,,,
325,2/18/2023,AK,,,1/25/2000,,,,,,
326,2/25/2023,AK,,,1/25/2000,,,,,,
327,3/4/2023,AK,,,1/25/2000,,,,,,
328,3/11/2023,AK,,,1/25/2000,,,,,,
329,1/25/2020,AZ,,,1/25/2000,,,,,,
330,2/1/2020,AZ,,,1/25/2000,,,,,,
331,2/8/2020,AZ,,,1/25/2000,,,,,,
332,2/15/2020,AZ,,,1/25/2000,,,,,,
333,2/22/2020,AZ,,,1/25/2000,,,,,,
334,2/29/2020,AZ,,,1/25/2000,,,,,,
335,3/7/2020,AZ,,,1/25/2000,,,,,,
336,3/14/2020,AZ,,,1/25/2000,,,,,,
337,3/21/2020,AZ,,,1/25/2000,,,,,,
338,3/28/2020,AZ,,,1/25/2000,,,,,,
339,4/4/2020,AZ,,,1/25/2000,,,,,,
340,4/11/2020,AZ,,,1/25/2000,,,,,,
341,4/18/2020,AZ,,,1/25/2000,,,,,,
342,4/25/2020,AZ,,,1/25/2000,,,,,,
343,5/2/2020,AZ,,,1/25/2000,,,,,,
344,5/9/2020,AZ,,,1/25/2000,,,,,,
345,5/16/2020,AZ,,,1/25/2000,,,,,,
346,5/23/2020,AZ,,,1/25/2000,,,,,,
347,5/30/2020,AZ,,,1/25/2000,,,,,,
348,6/6/2020,AZ,,,1/25/2000,,,,,,
349,6/13/2020,AZ,,,1/25/2000,,,,,,
350,6/20/2020,AZ,,,1/25/2000,,,,,,
351,6/27/2020,AZ,,,1/25/2000,,,,,,
352,7/4/2020,AZ,,,1/25/2000,,,,,,
353,7/11/2020,AZ,,,1/25/2000,,,,,,
354,7/18/2020,AZ,,,1/25/2000,,,,,,
355,7/25/2020,AZ,,,1/25/2000,,,,,,
356,8/1/2020,AZ,,,1/25/2000,,,,,,
357,8/8/2020,AZ,,,1/25/2000,,,,,,
358,8/15/2020,AZ,,,1/25/2000,,,,,,
359,8/22/2020,AZ,,,1/25/2000,,,,,,
360,8/29/2020,AZ,,,1/25/2000,,,,,,
361,9/5/2020,AZ,,,1/25/2000,,,,,,
362,9/12/2020,AZ,,,1/25/2000,,,,,,
363,9/19/2020,AZ,,,1/25/2000,,,,,,
364,9/26/2020,AZ,,,1/25/2000,,,,,,
365,10/3/2020,AZ,,,1/25/2000,,,,,,
366,10/10/2020,AZ,,,1/25/2000,,,,,,
367,10/17/2020,AZ,,,1/25/2000,,,,,,
368,10/24/2020,AZ,,,1/25/2000,,,,,,
369,10/31/2020,AZ,,,1/25/2000,,,,,,
370,11/7/2020,AZ,,,1/25/2000,,,,,,
371,11/14/2020,AZ,,,1/25/2000,,,,,,
372,11/21/2020,AZ,,,1/25/2000,,,,,,
373,11/28/2020,AZ,,,1/25/2000,,,,,,
374,12/5/2020,AZ,,,1/25/2000,,,,,,
375,12/12/2020,AZ,,,1/25/2000,,,,,,
376,12/19/2020,AZ,,,1/25/2000,,,,,,
377,12/26/2020,AZ,,,1/25/2000,,,,,,
378,1/2/2021,AZ,,,1/25/2000,,,,,,
379,1/9/2021,AZ,,,1/25/2000,,,,,,
380,1/16/2021,AZ,,,1/25/2000,,,,,,
381,1/23/2021,AZ,,,1/25/2000,,,,,,
382,1/30/2021,AZ,,,1/25/2000,,,,,,
383,2/6/2021,AZ,,,1/25/2000,,,,,,
384,2/13/2021,AZ,,,1/25/2000,,,,,,
385,2/20/2021,AZ,,,1/25/2000,,,,,,
386,2/27/2021,AZ,,,1/25/2000,,,,,,
387,3/6/2021,AZ,,,1/25/2000,,,,,,
388,3/13/2021,AZ,,,1/25/2000,,,,,,
389,3/20/2021,AZ,,,1/25/2000,,,,,,
390,3/27/2021,AZ,,,1/25/2000,,,,,,
391,4/3/2021,AZ,,,1/25/2000,,,,,,
392,4/10/2021,AZ,,,1/25/2000,,,,,,
393,4/17/2021,AZ,,,1/25/2000,,,,,,
394,4/24/2021,AZ,,,1/25/2000,,,,,,
395,5/1/2021,AZ,,,1/25/2000,,,,,,
396,5/8/2021,AZ,,,1/25/2000,,,,,,
397,5/15/2021,AZ,,,1/25/2000,,,,,,
398,5/22/2021,AZ,,,1/25/2000,,,,,,
399,5/29/2021,AZ,,,1/25/2000,,,,,,
400,6/5/2021,AZ,,,1/25/2000,,,,,,
401,6/12/2021,AZ,,,1/25/2000,,,,,,
402,6/19/2021,AZ,,,1/25/2000,,,,,,
403,6/26/2021,AZ,,,1/25/2000,,,,,,
404,7/3/2021,AZ,,,1/25/2000,,,,,,
405,7/10/2021,AZ,,,1/25/2000,,,,,,
406,7/17/2021,AZ,,,1/25/2000,,,,,,
407,7/24/2021,AZ,,,1/25/2000,,,,,,
408,7/31/2021,AZ,,,1/25/2000,,,,,,
409,8/7/2021,AZ,,,1/25/2000,,,,,,
410,8/14/2021,AZ,,,1/25/2000,,,,,,
411,8/21/2021,AZ,,,1/25/2000,,,,,,
412,8/28/2021,AZ,,,1/25/2000,,,,,,
413,9/4/2021,AZ,,,1/25/2000,,,,,,
414,9/11/2021,AZ,,,1/25/2000,,,,,,
415,9/18/2021,AZ,,,1/25/2000,,,,,,
416,9/25/2021,AZ,,,1/25/2000,,,,,,
417,10/2/2021,AZ,,,1/25/2000,,,,,,
418,10/9/2021,AZ,,,1/25/2000,,,,,,
419,10/16/2021,AZ,,,1/25/2000,,,,,,
420,10/23/2021,AZ,,,1/25/2000,,,,,,
421,10/30/2021,AZ,,,1/25/2000,,,,,,
422,11/6/2021,AZ,,,1/25/2000,,,,,,
423,11/13/2021,AZ,,,1/25/2000,,,,,,
424,11/20/2021,AZ,,,1/25/2000,,,,,,
425,11/27/2021,AZ,,,1/25/2000,,,,,,
426,12/4/2021,AZ,,,1/25/2000,,,,,,
427,12/11/2021,AZ,,,1/25/2000,,,,,,
428,12/18/2021,AZ,,,1/25/2000,,,,,,
429,12/25/2021,AZ,,,1/25/2000,,,,,,
430,1/1/2022,AZ,,,1/25/2000,,,,,,
431,1/8/2022,AZ,,,1/25/2000,,,,,,
432,1/15/2022,AZ,,,1/25/2000,,,,,,
433,1/22/2022,AZ,,,1/25/2000,,,,,,
434,1/29/2022,AZ,,,1/25/2000,,,,,,
435,2/5/2022,AZ,,,1/25/2000,,,,,,
436,2/12/2022,AZ,,,1/25/2000,,,,,,
437,2/19/2022,AZ,,,1/25/2000,,,,,,
438,2/26/2022,AZ,,,1/25/2000,,,,,,
439,3/5/2022,AZ,,,1/25/2000,,,,,,
440,3/12/2022,AZ,,,1/25/2000,,,,,,
441,3/19/2022,AZ,,,1/25/2000,,,,,,
442,3/26/2022,AZ,,,1/25/2000,,,,,,
443,4/2/2022,AZ,,,1/25/2000,,,,,,
444,4/9/2022,AZ,,,1/25/2000,,,,,,
445,4/16/2022,AZ,,,1/25/2000,,,,,,
446,4/23/2022,AZ,,,1/25/2000,,,,,,
447,4/30/2022,AZ,,,1/25/2000,,,,,,
448,5/7/2022,AZ,,,1/25/2000,,,,,,
449,5/14/2022,AZ,,,1/25/2000,,,,,,
450,5/21/2022,AZ,,,1/25/2000,,,,,,
451,5/28/2022,AZ,,,1/25/2000,,,,,,
452,6/4/2022,AZ,,,1/25/2000,,,,,,
453,6/11/2022,AZ,,,1/25/2000,,,,,,
454,6/18/2022,AZ,,,1/25/2000,,,,,,
455,6/25/2022,AZ,,,1/25/2000,,,,,,
456,7/2/2022,AZ,,,1/25/2000,,,,,,
457,7/9/2022,AZ,,,1/25/2000,,,,,,
458,7/16/2022,AZ,,,1/25/2000,,,,,,
459,7/23/2022,AZ,,,1/25/2000,,,,,,
460,7/30/2022,AZ,,,1/25/2000,,,,,,
461,8/6/2022,AZ,,,1/25/2000,,,,,,
462,8/13/2022,AZ,,,1/25/2000,,,,,,
463,8/20/2022,AZ,,,1/25/2000,,,,,,
464,8/27/2022,AZ,,,1/25/2000,,,,,,
465,9/3/2022,AZ,,,1/25/2000,,,,,,
466,9/10/2022,AZ,,,1/25/2000,,,,,,
467,9/17/2022,AZ,,,1/25/2000,,,,,,
468,9/24/2022,AZ,,,1/25/2000,,,,,,
469,10/1/2022,AZ,,,1/25/2000,,,,,,
470,10/8/2022,AZ,,,1/25/2000,,,,,,
471,10/15/2022,AZ,,,1/25/2000,,,,,,
472,10/22/2022,AZ,,,1/25/2000,,,,,,
473,10/29/2022,AZ,,,1/25/2000,,,,,,
474,11/5/2022,AZ,,,1/25/2000,,,,,,
475,11/12/2022,AZ,,,1/25/2000,,,,,,
476,11/19/2022,AZ,,,1/25/2000,,,,,,
477,11/26/2022,AZ,,,1/25/2000,,,,,,
478,12/3/2022,AZ,,,1/25/2000,,,,,,
479,12/10/2022,AZ,,,1/25/2000,,,,,,
480,12/17/2022,AZ,,,1/25/2000,,,,,,
481,12/24/2022,AZ,,,1/25/2000,,,,,,
482,12/31/2022,AZ,,,1/25/2000,,,,,,
483,1/7/2023,AZ,,,1/25/2000,,,,,,
484,1/14/2023,AZ,,,1/25/2000,,,,,,
485,1/21/2023,AZ,,,1/25/2000,,,,,,
486,1/28/2023,AZ,,,1/25/2000,,,,,,
487,2/4/2023,AZ,,,1/25/2000,,,,,,
488,2/11/2023,AZ,,,1/25/2000,,,,,,
489,2/18/2023,AZ,,,1/25/2000,,,,,,
490,2/25/2023,AZ,,,1/25/2000,,,,,,
491,3/4/2023,AZ,,,1/25/2000,,,,,,
492,3/11/2023,AZ,,,1/25/2000,,,,,,
493,1/25/2020,AR,,,1/25/2000,,,,,,
494,2/1/2020,AR,,,1/25/2000,,,,,,
495,2/8/2020,AR,,,1/25/2000,,,,,,
496,2/15/2020,AR,,,1/25/2000,,,,,,
497,2/22/2020,AR,,,1/25/2000,,,,,,
498,2/29/2020,AR,,,1/25/2000,,,,,,
499,3/7/2020,AR,,,1/25/2000,,,,,,
500,3/14/2020,AR,,,1/25/2000,,,,,,
501,3/21/2020,AR,,,1/25/2000,,,,,,
502,3/28/2020,AR,,,1/25/2000,,,,,,
503,4/4/2020,AR,,,1/25/2000,,,,,,
504,4/11/2020,AR,,,1/25/2000,,,,,,
505,4/18/2020,AR,,,1/25/2000,,,,,,
506,4/25/2020,AR,,,1/25/2000,,,,,,
507,5/2/2020,AR,,,1/25/2000,,,,,,
508,5/9/2020,AR,,,1/25/2000,,,,,,
