state,USPS,datew,incidI,date
Alabama,AL,2021-06-19,1334,2021-06-19
Alabama,AL,2021-06-26,1277,2021-06-26
Alabama,AL,2021-07-03,1364,2021-07-03
Alabama,AL,2021-07-10,3307,2021-07-10
Alabama,AL,2021-07-17,4873,2021-07-17
Alabama,AL,2021-07-24,9653,2021-07-24
Alabama,AL,2021-07-31,16476,2021-07-31
Alabama,AL,2021-08-07,21602,2021-08-07
Alabama,AL,2021-08-14,20696,2021-08-14
Alabama,AL,2021-08-21,31845,2021-08-21
Alabama,AL,2021-08-28,28268,2021-08-28
Alabama,AL,2021-09-04,31262,2021-09-04
Alabama,AL,2021-09-11,26532,2021-09-11
Alabama,AL,2021-09-18,22489,2021-09-18
Alabama,AL,2021-09-25,19120,2021-09-25
Alabama,AL,2021-10-02,12379,2021-10-02
Alabama,AL,2021-10-09,7679,2021-10-09
Alabama,AL,2021-10-16,6002,2021-10-16
Alabama,AL,2021-10-23,6116,2021-10-23
Alabama,AL,2021-10-30,12056,2021-10-30
Alabama,AL,2021-11-06,4087,2021-11-06
Alabama,AL,2021-11-13,3696,2021-11-13
Alabama,AL,2021-11-20,3200,2021-11-20
Alabama,AL,2021-11-27,2315,2021-11-27
Alabama,AL,2021-12-04,3186,2021-12-04
Alabama,AL,2021-12-11,3813,2021-12-11
Alabama,AL,2021-12-18,5342,2021-12-18
Alabama,AL,2021-12-25,10793,2021-12-25
Alabama,AL,2022-01-01,28529,2022-01-01
Alabama,AL,2022-01-08,69566,2022-01-08
Alabama,AL,2022-01-15,38442,2022-01-15
Alabama,AL,2022-01-22,132765,2022-01-22
Alabama,AL,2022-01-29,86481,2022-01-29
Alabama,AL,2022-02-05,36112,2022-02-05
Alabama,AL,2022-02-12,19598,2022-02-12
Alabama,AL,2022-02-19,10590,2022-02-19
Alabama,AL,2022-02-26,6398,2022-02-26
Alabama,AL,2022-03-05,3939,2022-03-05
Alabama,AL,2022-03-12,6054,2022-03-12
Alabama,AL,2022-03-19,2187,2022-03-19
Alabama,AL,2022-03-26,1322,2022-03-26
Alabama,AL,2022-04-02,2960,2022-04-02
Alabama,AL,2022-04-09,1262,2022-04-09
Alabama,AL,2022-04-16,1139,2022-04-16
Alabama,AL,2022-04-23,1996,2022-04-23
Alabama,AL,2022-04-30,1596,2022-04-30
Alabama,AL,2022-05-07,1664,2022-05-07
Alabama,AL,2022-05-14,2313,2022-05-14
Alabama,AL,2022-05-21,3173,2022-05-21
Alabama,AL,2022-05-28,4554,2022-05-28
Alabama,AL,2022-06-04,4592,2022-06-04
Alabama,AL,2022-06-11,8332,2022-06-11
Alabama,AL,2022-06-18,9620,2022-06-18
Alabama,AL,2022-06-25,11287,2022-06-25
Alabama,AL,2022-07-02,12783,2022-07-02
Alabama,AL,2022-07-09,14633,2022-07-09
Alabama,AL,2022-07-16,16649,2022-07-16
Alabama,AL,2022-07-23,17366,2022-07-23
Alabama,AL,2022-07-30,16712,2022-07-30
Alabama,AL,2022-08-06,12047,2022-08-06
Alabama,AL,2022-08-13,13354,2022-08-13
Alabama,AL,2022-08-20,14121,2022-08-20
Alabama,AL,2022-08-27,15672,2022-08-27
Alabama,AL,2022-09-03,14695,2022-09-03
Alabama,AL,2022-09-10,9880,2022-09-10
Alabama,AL,2022-09-17,7954,2022-09-17
Alabama,AL,2022-09-24,5770,2022-09-24
Alabama,AL,2022-10-01,4231,2022-10-01
Alabama,AL,2022-10-08,3589,2022-10-08
Alabama,AL,2022-10-15,3015,2022-10-15
Alabama,AL,2022-10-22,2566,2022-10-22
Alabama,AL,2022-10-29,2982,2022-10-29
Alabama,AL,2022-11-05,0,2022-11-05
Alabama,AL,2022-11-12,6042,2022-11-12
Alabama,AL,2022-11-19,1898,2022-11-19
Alabama,AL,2022-11-26,2872,2022-11-26
Alabama,AL,2022-12-03,4186,2022-12-03
Alabama,AL,2022-12-10,5807,2022-12-10
Alabama,AL,2022-12-17,6465,2022-12-17
Alabama,AL,2022-12-24,7377,2022-12-24
Alabama,AL,2022-12-31,0,2022-12-31
Alabama,AL,2023-01-07,18290,2023-01-07
Alabama,AL,2023-01-14,8925,2023-01-14
Alabama,AL,2023-01-21,6742,2023-01-21
Alabama,AL,2023-01-28,7644,2023-01-28
Alabama,AL,2023-02-04,7315,2023-02-04
Alabama,AL,2023-02-11,9820,2023-02-11
Alabama,AL,2023-02-18,6073,2023-02-18
Alabama,AL,2023-02-25,4605,2023-02-25
Alabama,AL,2023-03-04,3714,2023-03-04
Alabama,AL,2023-03-11,2471,2023-03-11
Alaska,AK,2020-01-25,0,2020-01-25
Alaska,AK,2020-02-01,0,2020-02-01
Alaska,AK,2020-02-08,0,2020-02-08
Alaska,AK,2020-02-15,0,2020-02-15
Alaska,AK,2020-02-22,0,2020-02-22
Alaska,AK,2020-02-29,0,2020-02-29
Alaska,AK,2020-03-07,0,2020-03-07
Alaska,AK,2020-03-14,1,2020-03-14
Alaska,AK,2020-03-21,15,2020-03-21
Alaska,AK,2020-03-28,76,2020-03-28
Alaska,AK,2020-04-04,80,2020-04-04
Alaska,AK,2020-04-11,89,2020-04-11
Alaska,AK,2020-04-18,58,2020-04-18
Alaska,AK,2020-04-25,25,2020-04-25
Alaska,AK,2020-05-02,26,2020-05-02
Alaska,AK,2020-05-09,15,2020-05-09
Alaska,AK,2020-05-16,18,2020-05-16
Alaska,AK,2020-05-23,20,2020-05-23
Alaska,AK,2020-05-30,32,2020-05-30
Alaska,AK,2020-06-06,131,2020-06-06
Alaska,AK,2020-06-13,145,2020-06-13
Alaska,AK,2020-06-20,125,2020-06-20
Alaska,AK,2020-06-27,183,2020-06-27
Alaska,AK,2020-07-04,311,2020-07-04
Alaska,AK,2020-07-11,333,2020-07-11
Alaska,AK,2020-07-18,496,2020-07-18
Alaska,AK,2020-07-25,733,2020-07-25
Alaska,AK,2020-08-01,956,2020-08-01
Alaska,AK,2020-08-08,552,2020-08-08
Alaska,AK,2020-08-15,585,2020-08-15
Alaska,AK,2020-08-22,547,2020-08-22
Alaska,AK,2020-08-29,533,2020-08-29
Alaska,AK,2020-09-05,496,2020-09-05
Alaska,AK,2020-09-12,547,2020-09-12
Alaska,AK,2020-09-19,554,2020-09-19
Alaska,AK,2020-09-26,705,2020-09-26
Alaska,AK,2020-10-03,882,2020-10-03
Alaska,AK,2020-10-10,1180,2020-10-10
Alaska,AK,2020-10-17,1376,2020-10-17
Alaska,AK,2020-10-24,1728,2020-10-24
Alaska,AK,2020-10-31,2812,2020-10-31
Alaska,AK,2020-11-07,2951,2020-11-07
Alaska,AK,2020-11-14,3846,2020-11-14
Alaska,AK,2020-11-21,4080,2020-11-21
Alaska,AK,2020-11-28,4225,2020-11-28
Alaska,AK,2020-12-05,4829,2020-12-05
Alaska,AK,2020-12-12,4226,2020-12-12
Alaska,AK,2020-12-19,3191,2020-12-19
Alaska,AK,2020-12-26,1784,2020-12-26
Alaska,AK,2021-01-02,2324,2021-01-02
Alaska,AK,2021-01-09,2158,2021-01-09
Alaska,AK,2021-01-16,1699,2021-01-16
Alaska,AK,2021-01-23,1497,2021-01-23
Alaska,AK,2021-01-30,1043,2021-01-30
Alaska,AK,2021-02-06,1043,2021-02-06
Alaska,AK,2021-02-13,1149,2021-02-13
Alaska,AK,2021-02-20,996,2021-02-20
Alaska,AK,2021-02-27,889,2021-02-27
Alaska,AK,2021-03-06,1039,2021-03-06
Alaska,AK,2021-03-13,932,2021-03-13
Alaska,AK,2021-03-20,899,2021-03-20
Alaska,AK,2021-03-27,1098,2021-03-27
Alaska,AK,2021-04-03,1238,2021-04-03
Alaska,AK,2021-04-10,1281,2021-04-10
Alaska,AK,2021-04-17,1139,2021-04-17
Alaska,AK,2021-04-24,1138,2021-04-24
Alaska,AK,2021-05-01,1089,2021-05-01
Alaska,AK,2021-05-08,732,2021-05-08
Alaska,AK,2021-05-15,584,2021-05-15
Alaska,AK,2021-05-22,438,2021-05-22
Alaska,AK,2021-05-29,306,2021-05-29
Alaska,AK,2021-06-05,261,2021-06-05
Alaska,AK,2021-06-12,183,2021-06-12
Alaska,AK,2021-06-19,223,2021-06-19
Alaska,AK,2021-06-26,160,2021-06-26
Alaska,AK,2021-07-03,349,2021-07-03
Alaska,AK,2021-07-10,347,2021-07-10
Alaska,AK,2021-07-17,709,2021-07-17
Alaska,AK,2021-07-24,1378,2021-07-24
Alaska,AK,2021-07-31,1668,2021-07-31
Alaska,AK,2021-08-07,2100,2021-08-07
Alaska,AK,2021-08-14,2237,2021-08-14
Alaska,AK,2021-08-21,3333,2021-08-21
Alaska,AK,2021-08-28,3597,2021-08-28
Alaska,AK,2021-09-04,3889,2021-09-04
Alaska,AK,2021-09-11,4533,2021-09-11
Alaska,AK,2021-09-18,5185,2021-09-18
Alaska,AK,2021-09-25,7319,2021-09-25
Alaska,AK,2021-10-02,8024,2021-10-02
Alaska,AK,2021-10-09,5645,2021-10-09
Alaska,AK,2021-10-16,6419,2021-10-16
Alaska,AK,2021-10-23,5505,2021-10-23
Alaska,AK,2021-10-30,4615,2021-10-30
Alaska,AK,2021-11-06,4231,2021-11-06
Alaska,AK,2021-11-13,3049,2021-11-13
Alaska,AK,2021-11-20,2916,2021-11-20
Alaska,AK,2021-11-27,2004,2021-11-27
Alaska,AK,2021-12-04,1897,2021-12-04
Alaska,AK,2021-12-11,1441,2021-12-11
Alaska,AK,2021-12-18,1214,2021-12-18
Alaska,AK,2021-12-25,655,2021-12-25
Alaska,AK,2022-01-01,1875,2022-01-01
Alaska,AK,2022-01-08,8184,2022-01-08
Alaska,AK,2022-01-15,13265,2022-01-15
Alaska,AK,2022-01-22,16727,2022-01-22
Alaska,AK,2022-01-29,17051,2022-01-29
Alaska,AK,2022-02-05,12516,2022-02-05
Alaska,AK,2022-02-12,7190,2022-02-12
Alaska,AK,2022-02-19,3854,2022-02-19
Alaska,AK,2022-02-26,2727,2022-02-26
Alaska,AK,2022-03-05,2106,2022-03-05
Alaska,AK,2022-03-12,2608,2022-03-12
Alaska,AK,2022-03-19,1490,2022-03-19
Alaska,AK,2022-03-26,945,2022-03-26
Alaska,AK,2022-04-02,1907,2022-04-02
Alaska,AK,2022-04-09,936,2022-04-09
Alaska,AK,2022-04-16,1303,2022-04-16
Alaska,AK,2022-04-23,1528,2022-04-23
Alaska,AK,2022-04-30,1496,2022-04-30
Alaska,AK,2022-05-07,1464,2022-05-07
Alaska,AK,2022-05-14,1623,2022-05-14
Alaska,AK,2022-05-21,1950,2022-05-21
Alaska,AK,2022-05-28,2020,2022-05-28
Alaska,AK,2022-06-04,2012,2022-06-04
Alaska,AK,2022-06-11,2485,2022-06-11
Alaska,AK,2022-06-18,2175,2022-06-18
Alaska,AK,2022-06-25,2580,2022-06-25
Alaska,AK,2022-07-02,3104,2022-07-02
Alaska,AK,2022-07-09,2907,2022-07-09
Alaska,AK,2022-07-16,2996,2022-07-16
Alaska,AK,2022-07-23,2885,2022-07-23
Alaska,AK,2022-07-30,2440,2022-07-30
Alaska,AK,2022-08-06,3160,2022-08-06
Alaska,AK,2022-08-13,2229,2022-08-13
Alaska,AK,2022-08-20,1849,2022-08-20
Alaska,AK,2022-08-27,2195,2022-08-27
Alaska,AK,2022-09-03,1422,2022-09-03
Alaska,AK,2022-09-10,1098,2022-09-10
Alaska,AK,2022-09-17,1209,2022-09-17
Alaska,AK,2022-09-24,757,2022-09-24
Alaska,AK,2022-10-01,616,2022-10-01
Alaska,AK,2022-10-08,691,2022-10-08
Alaska,AK,2022-10-15,565,2022-10-15
Alaska,AK,2022-10-22,356,2022-10-22
Alaska,AK,2022-10-29,387,2022-10-29
Alaska,AK,2022-11-05,367,2022-11-05
Alaska,AK,2022-11-12,1893,2022-11-12
Alaska,AK,2022-11-19,390,2022-11-19
Alaska,AK,2022-11-26,430,2022-11-26
Alaska,AK,2022-12-03,398,2022-12-03
Alaska,AK,2022-12-10,496,2022-12-10
Alaska,AK,2022-12-17,354,2022-12-17
Alaska,AK,2022-12-24,380,2022-12-24
Alaska,AK,2022-12-31,333,2022-12-31
Alaska,AK,2023-01-07,371,2023-01-07
Alaska,AK,2023-01-14,469,2023-01-14
Alaska,AK,2023-01-21,649,2023-01-21
Alaska,AK,2023-01-28,654,2023-01-28
Alaska,AK,2023-02-04,793,2023-02-04
Alaska,AK,2023-02-11,692,2023-02-11
Alaska,AK,2023-02-18,786,2023-02-18
Alaska,AK,2023-02-25,777,2023-02-25
Alaska,AK,2023-03-04,450,2023-03-04
Alaska,AK,2023-03-11,582,2023-03-11
Arizona,AZ,2020-01-25,0,2020-01-25
Arizona,AZ,2020-02-01,1,2020-02-01
Arizona,AZ,2020-02-08,0,2020-02-08
Arizona,AZ,2020-02-15,0,2020-02-15
Arizona,AZ,2020-02-22,0,2020-02-22
Arizona,AZ,2020-02-29,0,2020-02-29
Arizona,AZ,2020-03-07,3,2020-03-07
Arizona,AZ,2020-03-14,8,2020-03-14
Arizona,AZ,2020-03-21,92,2020-03-21
Arizona,AZ,2020-03-28,669,2020-03-28
Arizona,AZ,2020-04-04,1246,2020-04-04
Arizona,AZ,2020-04-11,1374,2020-04-11
Arizona,AZ,2020-04-18,1331,2020-04-18
Arizona,AZ,2020-04-25,1562,2020-04-25
Arizona,AZ,2020-05-02,2078,2020-05-02
Arizona,AZ,2020-05-09,2596,2020-05-09
Arizona,AZ,2020-05-16,2706,2020-05-16
Arizona,AZ,2020-05-23,2387,2020-05-23
Arizona,AZ,2020-05-30,3205,2020-05-30
Arizona,AZ,2020-06-06,6193,2020-06-06
Arizona,AZ,2020-06-13,9209,2020-06-13
Arizona,AZ,2020-06-20,15467,2020-06-20
Arizona,AZ,2020-06-27,19997,2020-06-27
Arizona,AZ,2020-07-04,24443,2020-07-04
Arizona,AZ,2020-07-11,25363,2020-07-11
Arizona,AZ,2020-07-18,21335,2020-07-18
Arizona,AZ,2020-07-25,18776,2020-07-25
Arizona,AZ,2020-08-01,16961,2020-08-01
Arizona,AZ,2020-08-08,9105,2020-08-08
Arizona,AZ,2020-08-15,6547,2020-08-15
Arizona,AZ,2020-08-22,5241,2020-08-22
Arizona,AZ,2020-08-29,3392,2020-08-29
Arizona,AZ,2020-09-05,4230,2020-09-05
Arizona,AZ,2020-09-12,2611,2020-09-12
Arizona,AZ,2020-09-19,5423,2020-09-19
Arizona,AZ,2020-09-26,3275,2020-09-26
Arizona,AZ,2020-10-03,3573,2020-10-03
Arizona,AZ,2020-10-10,4579,2020-10-10
Arizona,AZ,2020-10-17,5481,2020-10-17
Arizona,AZ,2020-10-24,6313,2020-10-24
Arizona,AZ,2020-10-31,9174,2020-10-31
Arizona,AZ,2020-11-07,11438,2020-11-07
Arizona,AZ,2020-11-14,15669,2020-11-14
Arizona,AZ,2020-11-21,22281,2020-11-21
Arizona,AZ,2020-11-28,27440,2020-11-28
Arizona,AZ,2020-12-05,36126,2020-12-05
Arizona,AZ,2020-12-12,43689,2020-12-12
Arizona,AZ,2020-12-19,45642,2020-12-19
Arizona,AZ,2020-12-26,44810,2020-12-26
Arizona,AZ,2021-01-02,46109,2021-01-02
Arizona,AZ,2021-01-09,68195,2021-01-09
Arizona,AZ,2021-01-16,59556,2021-01-16
Arizona,AZ,2021-01-23,48456,2021-01-23
Arizona,AZ,2021-01-30,38022,2021-01-30
Arizona,AZ,2021-02-06,25714,2021-02-06
Arizona,AZ,2021-02-13,16230,2021-02-13
Arizona,AZ,2021-02-20,10840,2021-02-20
Arizona,AZ,2021-02-27,9544,2021-02-27
Arizona,AZ,2021-03-06,9412,2021-03-06
Arizona,AZ,2021-03-13,6975,2021-03-13
Arizona,AZ,2021-03-20,3671,2021-03-20
Arizona,AZ,2021-03-27,3569,2021-03-27
Arizona,AZ,2021-04-03,4504,2021-04-03
Arizona,AZ,2021-04-10,5183,2021-04-10
Arizona,AZ,2021-04-17,4029,2021-04-17
Arizona,AZ,2021-04-24,5026,2021-04-24
Arizona,AZ,2021-05-01,5495,2021-05-01
Arizona,AZ,2021-05-08,4811,2021-05-08
Arizona,AZ,2021-05-15,4114,2021-05-15
Arizona,AZ,2021-05-22,3915,2021-05-22
Arizona,AZ,2021-05-29,4055,2021-05-29
Arizona,AZ,2021-06-05,2848,2021-06-05
Arizona,AZ,2021-06-12,3090,2021-06-12
Arizona,AZ,2021-06-19,2938,2021-06-19
Arizona,AZ,2021-06-26,3369,2021-06-26
Arizona,AZ,2021-07-03,3807,2021-07-03
Arizona,AZ,2021-07-10,4118,2021-07-10
Arizona,AZ,2021-07-17,5480,2021-07-17
Arizona,AZ,2021-07-24,9544,2021-07-24
Arizona,AZ,2021-07-31,11575,2021-07-31
Arizona,AZ,2021-08-07,16180,2021-08-07
Arizona,AZ,2021-08-14,18995,2021-08-14
Arizona,AZ,2021-08-21,20365,2021-08-21
Arizona,AZ,2021-08-28,22989,2021-08-28
Arizona,AZ,2021-09-04,21595,2021-09-04
Arizona,AZ,2021-09-11,18476,2021-09-11
Arizona,AZ,2021-09-18,18511,2021-09-18
Arizona,AZ,2021-09-25,17444,2021-09-25
Arizona,AZ,2021-10-02,18377,2021-10-02
Arizona,AZ,2021-10-09,16252,2021-10-09
Arizona,AZ,2021-10-16,15557,2021-10-16
Arizona,AZ,2021-10-23,16364,2021-10-23
Arizona,AZ,2021-10-30,17720,2021-10-30
Arizona,AZ,2021-11-06,20417,2021-11-06
Arizona,AZ,2021-11-13,24856,2021-11-13
Arizona,AZ,2021-11-20,26916,2021-11-20
Arizona,AZ,2021-11-27,24325,2021-11-27
Arizona,AZ,2021-12-04,25660,2021-12-04
Arizona,AZ,2021-12-11,24724,2021-12-11
Arizona,AZ,2021-12-18,21103,2021-12-18
Arizona,AZ,2021-12-25,20647,2021-12-25
Arizona,AZ,2022-01-01,35000,2022-01-01
Arizona,AZ,2022-01-08,71925,2022-01-08
Arizona,AZ,2022-01-15,101560,2022-01-15
Arizona,AZ,2022-01-22,166437,2022-01-22
Arizona,AZ,2022-01-29,115282,2022-01-29
Arizona,AZ,2022-02-05,66743,2022-02-05
Arizona,AZ,2022-02-12,34431,2022-02-12
Arizona,AZ,2022-02-19,16834,2022-02-19
Arizona,AZ,2022-02-26,13970,2022-02-26
Arizona,AZ,2022-03-05,3879,2022-03-05
Arizona,AZ,2022-03-12,6549,2022-03-12
Arizona,AZ,2022-03-19,5153,2022-03-19
Arizona,AZ,2022-03-26,4566,2022-03-26
Arizona,AZ,2022-04-02,10143,2022-04-02
Arizona,AZ,2022-04-09,6840,2022-04-09
Arizona,AZ,2022-04-16,2777,2022-04-16
Arizona,AZ,2022-04-23,2377,2022-04-23
Arizona,AZ,2022-04-30,2350,2022-04-30
Arizona,AZ,2022-05-07,3911,2022-05-07
Arizona,AZ,2022-05-14,5490,2022-05-14
Arizona,AZ,2022-05-21,7204,2022-05-21
Arizona,AZ,2022-05-28,11498,2022-05-28
Arizona,AZ,2022-06-04,13042,2022-06-04
Arizona,AZ,2022-06-11,14677,2022-06-11
Arizona,AZ,2022-06-18,16334,2022-06-18
Arizona,AZ,2022-06-25,15373,2022-06-25
Arizona,AZ,2022-07-02,16514,2022-07-02
Arizona,AZ,2022-07-09,20198,2022-07-09
Arizona,AZ,2022-07-16,15280,2022-07-16
Arizona,AZ,2022-07-23,18135,2022-07-23
Arizona,AZ,2022-07-30,17249,2022-07-30
Arizona,AZ,2022-08-06,15034,2022-08-06
Arizona,AZ,2022-08-13,13501,2022-08-13
Arizona,AZ,2022-08-20,12244,2022-08-20
Arizona,AZ,2022-08-27,8505,2022-08-27
Arizona,AZ,2022-09-03,8661,2022-09-03
Arizona,AZ,2022-09-10,3666,2022-09-10
Arizona,AZ,2022-09-17,6119,2022-09-17
Arizona,AZ,2022-09-24,3999,2022-09-24
Arizona,AZ,2022-10-01,3402,2022-10-01
Arizona,AZ,2022-10-08,3675,2022-10-08
Arizona,AZ,2022-10-15,2400,2022-10-15
Arizona,AZ,2022-10-22,5438,2022-10-22
Arizona,AZ,2022-10-29,4813,2022-10-29
Arizona,AZ,2022-11-05,5129,2022-11-05
Arizona,AZ,2022-11-12,7360,2022-11-12
Arizona,AZ,2022-11-19,10775,2022-11-19
Arizona,AZ,2022-11-26,13410,2022-11-26
Arizona,AZ,2022-12-03,12987,2022-12-03
Arizona,AZ,2022-12-10,15983,2022-12-10
Arizona,AZ,2022-12-17,11550,2022-12-17
Arizona,AZ,2022-12-24,8281,2022-12-24
Arizona,AZ,2022-12-31,4973,2022-12-31
Arizona,AZ,2023-01-07,6187,2023-01-07
Arizona,AZ,2023-01-14,7374,2023-01-14
Arizona,AZ,2023-01-21,2751,2023-01-21
Arizona,AZ,2023-01-28,3554,2023-01-28
Arizona,AZ,2023-02-04,3087,2023-02-04
Arizona,AZ,2023-02-11,3099,2023-02-11
Arizona,AZ,2023-02-18,3379,2023-02-18
Arizona,AZ,2023-02-25,26866,2023-02-25
Arizona,AZ,2023-03-04,5663,2023-03-04
Arizona,AZ,2023-03-11,3220,2023-03-11
Arkansas,AR,2020-01-25,0,2020-01-25
Arkansas,AR,2020-02-01,0,2020-02-01
Arkansas,AR,2020-02-08,0,2020-02-08
Arkansas,AR,2020-02-15,0,2020-02-15
Arkansas,AR,2020-02-22,0,2020-02-22
Arkansas,AR,2020-02-29,0,2020-02-29
Arkansas,AR,2020-03-07,0,2020-03-07
Arkansas,AR,2020-03-14,12,2020-03-14
Arkansas,AR,2020-03-21,128,2020-03-21
Arkansas,AR,2020-03-28,287,2020-03-28
Arkansas,AR,2020-04-04,334,2020-04-04
Arkansas,AR,2020-04-11,485,2020-04-11
Arkansas,AR,2020-04-18,516,2020-04-18
Arkansas,AR,2020-04-25,1167,2020-04-25
Arkansas,AR,2020-05-02,461,2020-05-02
Arkansas,AR,2020-05-09,375,2020-05-09
Arkansas,AR,2020-05-16,831,2020-05-16
Arkansas,AR,2020-05-23,1197,2020-05-23
Arkansas,AR,2020-05-30,1238,2020-05-30
Arkansas,AR,2020-06-06,2088,2020-06-06
Arkansas,AR,2020-06-13,2994,2020-06-13
Arkansas,AR,2020-06-20,3047,2020-06-20
Arkansas,AR,2020-06-27,4168,2020-06-27
Arkansas,AR,2020-07-04,3899,2020-07-04
Arkansas,AR,2020-07-11,4655,2020-07-11
Arkansas,AR,2020-07-18,4669,2020-07-18
Arkansas,AR,2020-07-25,5448,2020-07-25
Arkansas,AR,2020-08-01,5192,2020-08-01
Arkansas,AR,2020-08-08,5638,2020-08-08
Arkansas,AR,2020-08-15,3981,2020-08-15
Arkansas,AR,2020-08-22,4207,2020-08-22
Arkansas,AR,2020-08-29,4179,2020-08-29
Arkansas,AR,2020-09-05,4312,2020-09-05
Arkansas,AR,2020-09-12,5020,2020-09-12
Arkansas,AR,2020-09-19,5450,2020-09-19
Arkansas,AR,2020-09-26,5595,2020-09-26
Arkansas,AR,2020-10-03,5770,2020-10-03
Arkansas,AR,2020-10-10,5695,2020-10-10
Arkansas,AR,2020-10-17,6202,2020-10-17
Arkansas,AR,2020-10-24,6896,2020-10-24
Arkansas,AR,2020-10-31,6872,2020-10-31
Arkansas,AR,2020-11-07,8638,2020-11-07
Arkansas,AR,2020-11-14,11338,2020-11-14
Arkansas,AR,2020-11-21,11655,2020-11-21
Arkansas,AR,2020-11-28,11205,2020-11-28
Arkansas,AR,2020-12-05,14356,2020-12-05
Arkansas,AR,2020-12-12,14870,2020-12-12
Arkansas,AR,2020-12-19,15862,2020-12-19
Arkansas,AR,2020-12-26,13855,2020-12-26
Arkansas,AR,2021-01-02,17473,2021-01-02
Arkansas,AR,2021-01-09,20304,2021-01-09
Arkansas,AR,2021-01-16,18432,2021-01-16
Arkansas,AR,2021-01-23,12817,2021-01-23
Arkansas,AR,2021-01-30,11392,2021-01-30
Arkansas,AR,2021-02-06,11677,2021-02-06
Arkansas,AR,2021-02-13,6498,2021-02-13
Arkansas,AR,2021-02-20,2668,2021-02-20
Arkansas,AR,2021-02-27,3965,2021-02-27
Arkansas,AR,2021-03-06,5458,2021-03-06
Arkansas,AR,2021-03-13,2160,2021-03-13
Arkansas,AR,2021-03-20,1734,2021-03-20
Arkansas,AR,2021-03-27,1313,2021-03-27
